Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
PERMISOS;VIAG-33186-2026;_752-344-1;ATAJO 15 SL;AGROFORTRESS, SOCIEDAD ANONIMA;10/03/2026;LITROS;1200;CHINA;CHINA;PUERTO QUETZAL; $3,060.00 ; Q23,436.66 ; Q97.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;15% ;GLUFOSINATE-P;VAI
PERMISOS;VIAG-33187-2026;_783-7-2;CYTOKIN 0.01 SL;TECNOLOGIA AGROCOMERCIAL, SOCIEDAD ANONIMA;10/03/2026;LITROS;960;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $17,048.03 ; Q130,571.54 ; Q361.00 ;MILLER CHEMICAL & FERTILIZER, LLC - Estados Unidos                                    ;0.01% ;Citoquininas;VAI
PERMISOS;VIAG-33188-2026;_783-5-3;ENTRY  100 SL;TECNOLOGIA AGROCOMERCIAL, SOCIEDAD ANONIMA;10/03/2026;LITROS;2752.7;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $22,266.81 ; Q170,542.39 ; Q401.00 ;MILLER CHEMICAL & FERTILIZER, LLC - Estados Unidos                                    ;100% ;ESTERESETOXILADOSDEACIDOSGRASOS;VAI
PERMISOS;VIAG-33189-2026;_783-3-2;VAPOR GARD  96 SL;TECNOLOGIA AGROCOMERCIAL, SOCIEDAD ANONIMA;10/03/2026;LITROS;1665.4;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $18,481.50 ; Q141,550.55 ; Q372.00 ;MILLER CHEMICAL & FERTILIZER, LLC - Estados Unidos                                    ;96% ;RESINADEPINO;VAI
PERMISOS;VIAG-33190-2026;_783-4-3;ECO - FILM 89 SL;TECNOLOGIA AGROCOMERCIAL, SOCIEDAD ANONIMA;10/03/2026;LITROS;1665.4;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $15,106.70 ; Q115,702.82 ; Q346.00 ;MILLER CHEMICAL & FERTILIZER, LLC - Estados Unidos                                    ;89% ;POLI-1-P-MENTENO;VAI
PERMISOS;VIAG-33191-2026;1315-2;BIO-INSECT 80 SL;ECOLOGIKA DE GUATEMALA, S.A.;10/03/2026;LITROS;120;HONDURAS;HONDURAS;EL FLORIDO; $1,132.43 ; Q8,673.33 ; Q44.00 ;CHEMEXC S DE RL - Honduras                                          ;80% ;EXTRACTODECITRICOS;VAI
PERMISOS;VIAG-33192-2026;1315-17;BIOMATE 40 SL;ECOLOGIKA DE GUATEMALA, S.A.;10/03/2026;LITROS;456;HONDURAS;HONDURAS;EL FLORIDO; $2,091.65 ; Q16,020.03 ; Q83.00 ;CHEMEXC S DE RL - Honduras                                          ;40% ;CONCENTRATEDEXTRACTOFSALVIAOFFICINALIS;VAI
PERMISOS;VIAG-33193-2026;1315-15;BIOREPEL 62 SL;ECOLOGIKA DE GUATEMALA, S.A.;10/03/2026;LITROS;204;HONDURAS;HONDURAS;EL FLORIDO; $1,925.14 ; Q14,744.72 ; Q80.00 ;CHEMEXC S DE RL - Honduras                                          ;2% + 25% + 10% + 25% ;CAPSAICIN, GarlicExtract, MADREADOEXTRACT, MUSTARDOIL;VAI
PERMISOS;VIAG-33194-2026;_381-138-5;MANCOZEB TECNICO;DUWEST GUATEMALA SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;89600;INDIA;INDIA;PUERTO BARRIOS; $302,848.00 ; Q2,319,524.95 ; Q1,362.00 ;Duwest Inc - India                                             ;85% ;Mancozeb;VAI
PERMISOS;VIAG-33195-2026;1315-1;PIREX 6 EC;ECOLOGIKA DE GUATEMALA, S.A.;10/03/2026;LITROS;120;HONDURAS;HONDURAS;EL FLORIDO; $1,132.43 ; Q8,673.33 ; Q44.00 ;CHEMEXC S DE RL - Honduras                                          ;6% ;EXTRACTODECRISANTEMO;VAI
PERMISOS;VIAG-33196-2026;1315-4;FUMINAT 80 SL;ECOLOGIKA DE GUATEMALA, S.A.;10/03/2026;LITROS;504;HONDURAS;HONDURAS;EL FLORIDO; $4,606.23 ; Q35,279.30 ; Q121.00 ;CHEMEXC S DE RL - Honduras                                          ;80% ;Liquidambarstyracifluaextract;VAI
PERMISOS;VIAG-33197-2026;1315-8;M.A. 17.5 SP;ECOLOGIKA DE GUATEMALA, S.A.;10/03/2026;KILOGRAMOS;216;HONDURAS;HONDURAS;EL FLORIDO; $4,927.38 ; Q37,739.00 ; Q126.00 ;CHEMEXC S DE RL - Honduras                                          ;17.5% ;ExtractodeQuassiaamara;VAI
LICENCIAS;VIAG-33198-2026;1315-SAF-766-104;MICOROOT;ECOLOGIKA DE GUATEMALA, S.A.;10/03/2026;KILOGRAMOS;105;HONDURAS;HONDURAS;EL FLORIDO; $963.58 ; Q7,380.10 ; Q37.00 ;CHEMEXC S DE RL - Honduras                                          ;2% + 5% + 5% + 4% ;Azospirillumbrasilense(Equivalentea7.0X10^11UFC/mL), ExtractodeAlgasMarinas(AscophyllumNodosum), Extractodelevaduras, Glomusintraradices(Equivalentea75,000propagulos/Kg.);VAI
LICENCIAS;VIAG-33199-2026;780-F-5419-29;BIOMIN CALCIO;NUTRIENTES Y FERTILIZANTES SOCIEDAD ANONIMA;10/03/2026;LITROS;227.1;COSTA RICA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $2,143.79 ; Q16,428.16 ; Q83.00 ;Nutrientes y Fertilizantes, S.A. - Costa Rica                                        ;6.73% + 7.56% ;Aminoacidos, CaO;VAI
PERMISOS;VIAG-33200-2026;396-259;TRICHOX 10 WP;DUWEST GUATEMALA SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;1.2;COLOMBIA;COLOMBIA;SANTO TOMAS DE CASTILLA; $78.00 ; Q597.69 ; Q20.00 ;SEMILLAS VALLE S.A - Colombia                                          ;10% ;Trichodermaharzianum;VAI
PERMISOS;VIAG-33201-2026;296-11;VAPAM 51 GE;INVERSIONES COMERCIALES E INDUSTRIALES, SOCIEDAD ANONIMA;10/03/2026;LITROS;14976;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;PUERTO QUETZAL; $26,657.28 ; Q204,169.17 ; Q435.00 ;AMVAC LATAM S. DE R.L. - Estados Unidos                                    ;51% ;METAM-SODIUM;VAI
PERMISOS;VIAG-33202-2026;724-51;GLIFOSATO / REVOLVER 35,6 SL;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;10/03/2026;LITROS;20000;CHINA;CHINA;PUERTO QUETZAL; $38,100.00 ; Q291,791.52 ; Q522.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;35.6% ;GLYPHOSATE;VAI
PERMISOS;VIAG-33203-2026;_724-35-26;2,4-D / DIMAXINE 72 SL;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;1600;CHINA;CHINA;PUERTO QUETZAL; $3,712.00 ; Q28,430.36 ; Q107.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;72% ;2,4-D;VAI
LICENCIAS;VIAG-33204-2026;779-F-5520-21;SULFATO DE HIERRO HEPTAHIDRATADO;NOVEDADES E INNOVADORA AGROQUIMICOS, SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;81000;CHINA;CHINA;PUERTO QUETZAL; $19,440.00 ; Q148,882.60 ; Q379.00 ;TIANJIN DYNAMIC BIO-TECHNOLOGY CO., LDT - China                                             ;19.7% + 16.2% ;FE, S;VAI
PERMISOS;VIAG-33205-2026;_724-193-1;LEKTOR 48 SC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;2000;CHINA;CHINA;PUERTO QUETZAL; $13,980.00 ; Q107,073.38 ; Q338.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;48% ;Mesotrione;VAI
PERMISOS;VIAG-33206-2026;_724-117-18;GRASIDIM 24 EC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;800;CHINA;CHINA;PUERTO QUETZAL; $3,768.00 ; Q28,859.26 ; Q108.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;24% ;Clethodim;VAI
PERMISOS;VIAG-33207-2026;_724-178-5;KAMPIS 40  EC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;504;CHINA;CHINA;PUERTO QUETZAL; $20,981.52 ; Q160,698.30 ; Q391.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;40% ;CarfentrazoneEthyl;VAI
PERMISOS;VIAG-33208-2026;_724-206-1;APLACADOR 10 EC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;800;CHINA;CHINA;PUERTO QUETZAL; $3,360.00 ; Q25,734.37 ; Q102.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;10% ;Bifenthrin;VAI
PERMISOS;VIAG-33209-2026;_724-206-1;APLACADOR 10 EC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;432;CHINA;CHINA;PUERTO QUETZAL; $2,026.08 ; Q15,517.83 ; Q82.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;10% ;Bifenthrin;VAI
PERMISOS;VIAG-33210-2026;_724-59-13;KAINDOR 35 SC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;240;CHINA;CHINA;PUERTO QUETZAL; $1,327.20 ; Q10,165.08 ; Q71.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;35% ;Imidacloprid;VAI
PERMISOS;VIAG-33211-2026;_724-48-23;AZTROSTAR  XTRA  28 SC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;432;CHINA;CHINA;PUERTO QUETZAL; $3,408.48 ; Q26,105.68 ; Q103.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;20% + 8% ;Azoxystrobin, Ciproconazole;VAI
PERMISOS;VIAG-33212-2026;_724-172-5;AZTROSTAR TOP 32.5 SC;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;432;CHINA;CHINA;PUERTO QUETZAL; $3,369.60 ; Q25,807.90 ; Q102.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;20% + 12.5% ;Azoxistrobin, Difenoconazole;VAI
PERMISOS;VIAG-33213-2026;_724-322-1;CANDIDO   88  OL;RAINBOW AGROINDUSTRIA, S.A.;10/03/2026;LITROS;3200;CHINA;CHINA;PUERTO QUETZAL; $46,454.00 ; Q355,793.04 ; Q586.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;88% ;Fenpropimorph;VAI
PERMISOS;VIAG-33214-2026;130-45;RUBICON 24.7 SC;PROMOCIONES AGRICOLAS INDUSTRIALES Y COMERCIALES SOCIEDAD ANONIMA;10/03/2026;LITROS;360;INDIA;INDIA;PUERTO QUETZAL; $3,966.15 ; Q30,375.04 ; Q111.00 ;Agro Trading Corporation S.A. - India                                             ;10.6% + 14.1% ;LAMBDACIHALOTRINA, TIAMETOXAM;VAI
PERMISOS;VIAG-33215-2026;130-18;Permetrina Técnica;PROMOCIONES AGRICOLAS INDUSTRIALES Y COMERCIALES SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;2880;INDIA;INDIA;PUERTO QUETZAL; $25,505.50 ; Q195,335.66 ; Q426.00 ;Agro Trading Corporation S.A. - India                                             ;92% ;PERMETHRIN;VAI
PERMISOS;VIAG-33216-2026;_1637-1-6;BANOLE;DUWEST GUATEMALA SOCIEDAD ANONIMA;10/03/2026;LITROS;26495;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $29,050.00 ; Q222,481.46 ; Q453.00 ;MTF CENTRAL AMERICA GUA, S.A. - Estados Unidos                                    ;84% ;Paraffinicmineraloil;VAI
PERMISOS;VIAG-33217-2026;33-411A;Tebuconazole / Folicur Tecnico;BAYER, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;3000;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $140,400.00 ; Q1,075,263.23 ; Q1,238.00 ;Bayer AG - Estados Unidos                                    ;95% ;Tebuconazole;VAI
PERMISOS;VIAG-33218-2026;33-728;FLUOPYRAM TECNICO;BAYER, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;3200;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;PUERTO BARRIOS; $489,600.00 ; Q3,749,635.87 ; Q1,505.00 ;Bayer AG - Estados Unidos                                    ;96.5% ;FLUOPYRAM;VAI
PERMISOS;VIAG-33219-2026;33-616;THIACLOPRID TÉCNICO;BAYER, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;1000;ALEMANIA;ALEMANIA;PUERTO BARRIOS; $122,520.00 ; Q938,328.00 ; Q1,130.00 ;Bayer AG - Alemania                                          ;97.5% ;Thiacloprid;VAI
PERMISOS;VIAG-33220-2026;_547-21-4;BELEAF  50 SG;DUWEST GUATEMALA SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;302.4;MEXICO;JAPON;TECUN UMAN; $47,656.16 ; Q365,079.07 ; Q596.00 ;Duwest Inc - México                                            ;50% ;Flonicamid;VAI
PERMISOS;VIAG-33221-2026;84-07;DIURON 80 SC;BESTENFELDEN GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;LITROS;16000;MALASIA;MALASIA;PUERTO QUETZAL; $77,600.00 ; Q594,469.54 ; Q825.00 ;TAHUAL AGRICOLA, S.A. - Malasia                                           ;80% ;Diuron;VAI
PERMISOS;VIAG-33222-2026;84-32;ATRAZINA 90 WG;BESTENFELDEN GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;2650;CHINA;CHINA;PUERTO QUETZAL; $9,725.50 ; Q74,504.04 ; Q200.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;90% ;Atrazine;VAI
PERMISOS;VIAG-33223-2026;78-202A;VERSYS 10 DC;BASF DE GUATEMALA  SOCIEDAD ANONIMA;11/03/2026;LITROS;1136;COSTA RICA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $124,766.88 ; Q956,052.42 ; Q1,130.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;10% ;AFIDOPYROPEN;VAI
PERMISOS;VIAG-33224-2026;78-143;CABRIO TEAM / GUELUZ 18.7 WG;BASF DE GUATEMALA  SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;967.5;COSTA RICA;ALEMANIA;PEDRO DE ALVARADO; $31,840.43 ; Q243,997.67 ; Q474.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;12% + 6.7% ;DIMETHOMORPH, PYRACLOSTROBIN;VAI
PERMISOS;VIAG-33225-2026;_84-26A-37;HEDOMINA 72 SL;NEGOCIOS RELACIONADOS, S.A.;11/03/2026;LITROS;5000;CHINA;CHINA;PUERTO QUETZAL; $15,290.00 ; Q117,162.84 ; Q348.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;72% ;2,4-D;VAI
PERMISOS;VIAG-33226-2026;33-616;THIACLOPRID TÉCNICO;BAYER, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;2500;ALEMANIA;ALEMANIA;PUERTO BARRIOS; $306,300.00 ; Q2,345,819.99 ; Q1,365.00 ;Bayer AG - Alemania                                          ;97.5% ;THIACLOPRID;VAI
PERMISOS;VIAG-33227-2026;_724-51-45;GLIFOSATO /  REVOLVER 35.6 SL;RAINBOW AGROINDUSTRIA, S.A.;11/03/2026;LITROS;8000;CHINA;CHINA;PUERTO QUETZAL; $14,560.00 ; Q111,539.65 ; Q342.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;35.6% ;GLYPHOSATE;VAI
PERMISOS;VIAG-33228-2026;_724-72A-18;CLORPIRIFOS / BARRIDA / PIRIFOS 48 EC;RAINBOW AGROINDUSTRIA, S.A.;11/03/2026;LITROS;4000;CHINA;CHINA;PUERTO QUETZAL; $16,600.00 ; Q127,167.45 ; Q358.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;48% ;Chlorpyrifos;VAI
PERMISOS;VIAG-33229-2026;_724-206-1;APLACADOR 10 EC;RAINBOW AGROINDUSTRIA, S.A.;11/03/2026;LITROS;1600;CHINA;CHINA;PUERTO QUETZAL; $6,128.00 ; Q46,944.71 ; Q144.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;10% ;Bifenthrin;VAI
PERMISOS;VIAG-33230-2026;_724-221-4;ACROMORPH  50  WP;RAINBOW AGROINDUSTRIA, S.A.;11/03/2026;KILOGRAMOS;1000;CHINA;CHINA;PUERTO QUETZAL; $5,740.00 ; Q43,972.36 ; Q138.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;50% ;Dimethomorph;VAI
LICENCIAS;VIAG-33231-2026;_786-SAF-570-34-2;LAMINONE;ARYSTA LIFESCIENCE DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;LITROS;192;FRANCIA;FRANCIA;PUERTO QUETZAL; $8,363.52 ; Q64,070.33 ; Q179.00 ;KRETS, SOCIEDAD ANÓNIMA - FRANCIA                                           ;4.5% ;EXTRACTODEALGAS(Laminariadigitata);VAI
LICENCIAS;VIAG-33232-2026;1239-F-6472-94;POLY-FEED GG 19-19-19 + ME;EL COLONO AGROPECUARIO, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;24000;ISRAEL;ISRAEL;PUERTO QUETZAL; $32,160.00 ; Q246,367.79 ; Q477.00 ;Haifa Negev Technologies Ltd. - Israel                                            ;0.02% + 0.011% + 0.1% + 19.6812% + 0.05% + 0.007% + 19.933% + 19.947% + 0.015% ;B, Cu, Fe, K2O, Mn, Mo, N, P2O5, Zn;VAI
PERMISOS;VIAG-33233-2026;396-258;BACTOX 17.5 SL;DUWEST GUATEMALA SOCIEDAD ANONIMA;11/03/2026;LITROS;1140;COLOMBIA;COLOMBIA;SANTO TOMAS DE CASTILLA; $16,662.00 ; Q127,676.07 ; Q358.00 ;Duwest INC. - Colombia                                          ;17.5% ;BACILLUSSUBTILIS;VAI
PERMISOS;VIAG-33234-2026;561-48;XENIC 37 SL;MARKETING ARM GUATEMALA SOCIEDAD ANONIMA;11/03/2026;LITROS;2112;PANAMA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $10,975.66 ; Q84,081.13 ; Q219.00 ;American Biological Inc - Panamá                                            ;37% ;ALCOHOLETHOXYLATEDPROPOXYLATED;VAI
LICENCIAS;VIAG-33235-2026;650-F-6553-73;UREA;DISAGRO DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;3650000;RUSIA;RUSIA;PUERTO BARRIOS; $1,712,726.00 ; Q13,117,836.94 ; Q2,442.00 ;Global Fertilizer Trading Company Limited - Rusia                                             ;46% ;N;VAI
LICENCIAS;VIAG-33236-2026;650-F-4937-73;DAP;DISAGRO DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;4074000;RUSIA;RUSIA;PUERTO BARRIOS; $3,106,628.70 ; Q23,793,793.48 ; Q3,510.00 ;Global Fertilizer Trading Company Limited - Rusia                                             ;18% + 46% ;N, P2O5;VAI
LICENCIAS;VIAG-33237-2026;729-F-5840-73;NITRATO DE AMONIO;NITRATOS DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;1100000;RUSIA;RUSIA;PUERTO BARRIOS; $387,046.00 ; Q2,964,400.80 ; Q1,427.00 ;Global Fertilizer Trading Company Limited - Rusia                                             ;34.4% ;N;VAI
LICENCIAS;VIAG-33238-2026;650-F-6097-13;MURIATO DE POTASIO;DISAGRO DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;273920;CANADA;CANADA;PUERTO BARRIOS; $106,963.02 ; Q819,183.78 ; Q1,050.00 ;INCOFE S.A.S. - Canadá                                            ;60% ;K2O;VAI
LICENCIAS;VIAG-33239-2026;_983-ENMIENDA-227-17-9;CRENTO FIRMEZA ORIGEN;NITRATOS DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;137790;COLOMBIA;COLOMBIA;PUERTO BARRIOS; $57,988.92 ; Q444,112.20 ; Q675.00 ;INCOFE, S.A.S. - Colombia                                          ;70% ;FELDESPATO-CAOLIN;VAI
LICENCIAS;VIAG-33240-2026;_983-ENMIENDA-227-17-9;CRENTO FIRMEZA ORIGEN;NITRATOS DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;137880;COLOMBIA;COLOMBIA;PUERTO BARRIOS; $58,019.90 ; Q444,349.47 ; Q675.00 ;INCOFE, S.A.S. - Colombia                                          ;70% ;FELDESPATO-CAOLIN;VAI
LICENCIAS;VIAG-33241-2026;_983-ENMIENDA-227-17-9;CRENTO FIRMEZA ORIGEN;NITRATOS DE GUATEMALA, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;137925;COLOMBIA;COLOMBIA;PUERTO BARRIOS; $58,038.84 ; Q444,494.52 ; Q675.00 ;INCOFE, S.A.S. - Colombia                                          ;70% ;FELDESPATO-CAOLIN;VAI
PERMISOS;VIAG-33242-2026;33-641;NATIVO / CONSIST FULL 75 WG;BAYER, SOCIEDAD ANONIMA;11/03/2026;KILOGRAMOS;13500;ALEMANIA;ALEMANIA;PUERTO BARRIOS; $441,585.00 ; Q3,382,845.79 ; Q1,469.00 ;Bayer AG - Alemania                                          ;50% + 25% ;Tebuconazol, Trifloxystrobin;VAI
PERMISOS;VIAG-33243-2026;130-34;Cipermetrina Tecnica;PROMOCIONES AGRICOLAS INDUSTRIALES Y COMERCIALES SOCIEDAD ANONIMA;12/03/2026;KILOGRAMOS;2160;INDIA;INDIA;PUERTO QUETZAL; $16,282.51 ; Q124,700.74 ; Q355.00 ;Agro Trading Corporation S.A. - India                                             ;92% ;Cypermethrin;VAI
PERMISOS;VIAG-33244-2026;724-177;TIOCOSIN 50 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;LITROS;2160;CHINA;CHINA;PUERTO QUETZAL; $12,592.80 ; Q96,469.54 ; Q230.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;50% ;Thiophanate-Methyl;VAI
PERMISOS;VIAG-33245-2026;724-140;SIGILO 25 EC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $6,955.20 ; Q53,281.63 ; Q157.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;25% ;Difenoconazole;VAI
PERMISOS;VIAG-33246-2026;724-158;BOSBEL/PATRIMONY 38 WG;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;KILOGRAMOS;720;CHINA;CHINA;PUERTO QUETZAL; $20,714.40 ; Q158,686.60 ; Q389.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;25.2% + 12.8% ;Boscalid, Pyraclostrobin;VAI
PERMISOS;VIAG-33247-2026;724-31;Milor 72 WP;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;KILOGRAMOS;2000;CHINA;CHINA;PUERTO QUETZAL; $12,280.00 ; Q94,073.27 ; Q230.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;64% + 8% ;Mancozeb, Metalaxil;VAI
PERMISOS;VIAG-33248-2026;724-31;Milor 72 WP;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;KILOGRAMOS;720;CHINA;CHINA;PUERTO QUETZAL; $5,407.20 ; Q41,422.88 ; Q133.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;64% + 8% ;Mancozeb, Metalaxil;VAI
PERMISOS;VIAG-33249-2026;724-31;Milor 72 WP;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;KILOGRAMOS;3393.75;CHINA;CHINA;PUERTO QUETZAL; $23,756.25 ; Q181,989.27 ; Q412.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;64% + 8% ;Mancozeb, Metalaxil;VAI
PERMISOS;VIAG-33250-2026;724-211;BREGO 72 SL;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $5,050.08 ; Q38,687.10 ; Q128.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;72% ;PropamocarbClorhidrato;VAI
PERMISOS;VIAG-33251-2026;561-48;XENIC 37 SL;MARKETING ARM GUATEMALA SOCIEDAD ANONIMA;12/03/2026;LITROS;1056;PANAMA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $5,662.83 ; Q43,381.19 ; Q137.00 ;American Biological Inc - Panamá                                            ;37% ;ALCOHOLETHOXYLATEDPROPOXYLATED;VAI
PERMISOS;VIAG-33252-2026;724-211;BREGO 72 SL;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $5,876.64 ; Q45,019.12 ; Q141.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;72% ;PropamocarbClorhidrato;VAI
PERMISOS;VIAG-33253-2026;724-117;GRASIDIM 24 EC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $7,056.00 ; Q54,053.83 ; Q159.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;24% ;Clethodim;VAI
PERMISOS;VIAG-33254-2026;724-24;ABAMECTIN / ABAMECTAN / TRESPASS 1.8 EC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;12/03/2026;LITROS;2160;CHINA;CHINA;PUERTO QUETZAL; $11,404.80 ; Q87,368.64 ; Q225.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;1.8% ;Abamectin;VAI
PERMISOS;VIAG-33255-2026;_786-5A-1;EVISECT 33.4  SP;PROMOCIONES AGRICOLAS INDUSTRIALES Y COMERCIALES SOCIEDAD ANONIMA;12/03/2026;KILOGRAMOS;480;COSTA RICA;JAPON;PEDRO DE ALVARADO; $21,306.76 ; Q163,224.48 ; Q394.00 ;Agro Trading Corporation S.A. - Costa Rica                                        ;33.4% ;THIOCYCLAM;VAI
PERMISOS;VIAG-33256-2026;561-48;XENIC 37 SL;MARKETING ARM GUATEMALA SOCIEDAD ANONIMA;12/03/2026;LITROS;2640;PANAMA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $12,692.75 ; Q97,235.22 ; Q230.00 ;American Biological Inc - Panamá                                            ;37% ;ALCOHOLETHOXYLATEDPROPOXYLATED;VAI
PERMISOS;VIAG-33257-2026;561-48;XENIC 37 SL;MARKETING ARM GUATEMALA SOCIEDAD ANONIMA;12/03/2026;LITROS;4800;PANAMA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $23,825.93 ; Q182,523.06 ; Q413.00 ;American Biological Inc - Panamá                                            ;37% ;ALCOHOLETHOXYLATEDPROPOXYLATED;VAI
